"CAS_n","Check?","ChemNames","SMILES"
"26305-75-9","YES","Chlorotris(triphenylphosphine)cobalt(I)","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[Cl-].[Co]"
"865-47-4","NO","Potassium tert-butoxide","CC(C)(C)[O-].[K+]"
"17979-81-6","NO","Sodium triethylborohydride","[B-](CC)(CC)CC.[Na+]"
"865-48-5","NO","Sodium tert-butoxide","CC(C)(C)[O-].[Na+]"
"14024-48-7","YES","Cobalt(2+);4-oxopent-2-en-2-olate","CC(=CC(=O)C)[O-].CC(=CC(=O)C)[O-].[Co+2]"
"10139-47-6","NO","Zinc iodide","[Zn](I)I"
"25015-63-8","NO","4,4,5,5-Tetramethyl-1,3,2-dioxaborolane","[B]1OC(C(O1)(C)C)(C)C"
"79060-88-1","NO","Sodium tetrakis[3,5-bis(trifluoromethyl)phenyl]borate","[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F.[Na+]"
"7440-66-6","NO","ZINC","[Zn]"
"917-54-4","NO","Methyllithium","[Li+].[CH3-]"
"6737-42-4","NO","1,3-Bis(diphenylphosphino)propane","C1=CC=C(C=C1)P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4"
"68-19-9","NO","cobalt(3+);[5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl phosphate;cyanide","CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]"
"1487195-87-8","YES","cobalt;cyclopentane;dimethyl (E)-but-2-enedioate;triethyl phosphite","CCOP(OCC)OCC.COC(=O)C=CC(=O)OC.C1CCCC1.[Co]"
"814-29-9","NO","Tributylphosphine oxide","CCCCP(=O)(CCCC)CCCC"
"26042-64-8","NO","Silver hexafluoroantimonate","F[Sb-](F)(F)(F)(F)F.[Ag+]"
"72914-19-3","NO","4,4'-Di-tert-butyl-2,2'-bipyridine","CC(C)(C)C1=CC(=NC=C1)C2=NC=CC(=C2)C(C)(C)C"
"67276-04-4","NO","Sodium tri-sec-butylborohydride","[B-](C(C)CC)(C(C)CC)C(C)CC.[Na+]"
"64-19-7","NO","Acetic acid","CC(=O)O"
"13991-08-7","NO","1,2-Bis(diphenylphosphino)benzene","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5"
"1148-79-4","NO","2,2':6',2''-Terpyridine","C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3"
"35886-64-7","YES","Carbonyldiiodo(pentamethylcyclopentadienyl)cabalt","CC1=[C-]C(C(=C1C)C)(C)C.C=O.[Co+](I)I"
"34946-82-2","NO","Copper(II) trifluoromethanesulphonate","C(F)(F)(F)S(=O)(=O)O.C(F)(F)(F)S(=O)(=O)O.[Cu]"
"127-09-3","NO","Sodium acetate","CC(=O)[O-].[Na+]"
"10210-68-1","NO","Cobalt carbonyl, moistened with hexane (hexane 1-10%), >=90% (Co)","[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Co+2].[Co+2]"
"12150-46-8","NO","Zirconium ionophore I","C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.[Fe]"
"3375-31-3","NO","Palladium(2+) diacetate","CC(=O)O.CC(=O)O.[Pd]"
"22560-21-0","NO","Potassium triethylborohydride solution","[B-](CC)(CC)CC.[K+]"
"109705-14-8","NO","1-Fluoro-2,4,6-trimethylpyridinium tetrafluoroborate","[B-](F)(F)(F)F.CC1=CC(=[N+](C(=C1)C)F)C"
"100-76-5","NO","Quinuclidine","C1CN2CCC1CC2"
"12078-25-0","NO","Cyclopentadienylcobalt dicarbonyl, min. 95%","[C-]#[O+].[C-]#[O+].C1=C[CH]C=C1.[Co]"
"13462-90-3","NO","Nickel iodide","[Ni](I)I"
"14167-18-1","NO","N,N'-Bis(salicylidene)ethylenediaminocobalt(II) hydrate","C1=CC=C(C(=C1)C=NCCN=CC2=CC=CC=C2O)O.[Co]"
"18346-57-1","YES","Cobalt(II) dibromo(1,2-dimethoxyethane)","COCCOC.[Co](Br)Br"
"7778-53-2","NO","Potassium phosphate","[O-]P(=O)([O-])[O-].[K+].[K+].[K+]"
"21679-46-9","YES","Cobalt triacetoacetate","CC(=O)CC(=O)C.CC(=O)CC(=O)C.CC(=O)CC(=O)C.[Co]"
"3317-67-7","NO","Cobalt(II) phthalocyanine","C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC=CC6=C([N-]5)N=C7C8=CC=CC=C8C(=N7)N=C2[N-]3)C9=CC=CC=C94.[Co+2]"
"181422-81-1","YES","1,3-dicyclohexyl-2H-imidazol-1-ium-2-ide","C1CCC(CC1)N2C=C[N+](=[C-]2)C3CCCCC3"
"27721-02-4","NO","1,5-Bis(diphenylphosphino)pentane","C1=CC=C(C=C1)P(CCCCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4"
"824395-67-7","NO","(+)-1,2-Bis((2S,5S)-2,5-diphenylphospholano)ethane","C1CC(P(C1C2=CC=CC=C2)CCP3C(CCC3C4=CC=CC=C4)C5=CC=CC=C5)C6=CC=CC=C6"
"166330-10-5","NO","Bis(2-diphenylphosphinophenyl)ether","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3OC4=CC=CC=C4P(C5=CC=CC=C5)C6=CC=CC=C6"
"795290-34-5","NO","(1S,1'S,2R,2'R)-Duanphos","CC(C)(C)P1CC2=CC=CC=C2C1C3C4=CC=CC=C4CP3C(C)(C)C"
"75-77-4","NO","Chlorotrimethylsilane","C[Si](C)(C)Cl"
"540475-45-4","NO","1,1-Bis((2R,5R)-2,5-dimethylphospholano)ferrocene, min. 97%","[CH3-].[CH3-].CC1CCC(P1C2CCCC2)C.CC1CCC(P1C2CCCC2)C.[Fe+2]"
"23743-26-2","NO","1,2-Bis(dicyclohexylphosphino)ethane","C1CCC(CC1)P(CCP(C2CCCCC2)C3CCCCC3)C4CCCCC4"
"866081-62-1","NO","2,3-Bis(tert-butylmethylphosphino)quinoxaline","CC(C)(C)P(C)C1=NC2=CC=CC=C2N=C1P(C)C(C)(C)C"
"161265-03-8","NO","Xantphos","CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C"
"301847-89-2","NO","(R)-C3-TunePhos","C1COC2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)C5=C(C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)OC1"
"429-41-4","NO","Tetrabutylammonium fluoride","CCCC[N+](CCCC)(CCCC)CCCC.[F-]"
"98327-87-8","NO","2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8"
"128008-30-0","NO","Indium(III) trifluoromethanesulfonate","C(F)(F)(F)S(=O)(=O)[O-].C(F)(F)(F)S(=O)(=O)[O-].C(F)(F)(F)S(=O)(=O)[O-].[In+3]"
"157472-96-3","YES","Tetramethylethylene)bis(3,5-di-tert-butylsalicylideneiminato)]cobalt(II)","CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)[O-])C=NC(C)(C)C(C)(C)N=CC2=C(C(=CC(=C2)C(C)(C)C)C(C)(C)C)[O-].[Co+2]"
"2328084-27-9","YES","(4S,4'S)-Di-tert-butyl 2,2'-(cyclopropane-1,1-diyl)bis(4,5-dihydrooxazole-4-carboxylate)","CC(C)(C)OC(=O)C1COC(=N1)C2(CC2)C3=NC(CO3)C(=O)OC(C)(C)C"
